,Condition,Reaction Time,Face Value,X Placement Column,X Placement Row,Side placement of X,Participant's Choice,Accuracy
0,Feedback,14.6482958,anger,17,5,Left,Left,correct
1,Feedback,8.0045407,sad,22,14,Right,Right,correct
2,Feedback,1.6090822,anger,3,14,Left,Left,correct
3,Feedback,4.1552553,sad,35,12,Right,Right,correct
4,Feedback,7.3790468,anger,20,14,Right,Right,correct
5,Feedback,5.3275143,sad,39,1,Right,Right,correct
6,Feedback,8.1027438,anger,31,15,Right,Right,correct
7,Feedback,1.6606408,anger,33,11,Right,Right,correct
8,Feedback,1.1500051,sad,30,4,Right,Right,correct
9,Feedback,2.4980585,sad,10,0,Left,Left,correct
10,Feedback,3.9603635,anger,33,11,Right,Right,correct
11,Feedback,1.1901826,neutral,39,9,Right,Right,correct
12,Feedback,2.9731387,neutral,8,4,Left,Left,correct
13,Experiment,2.2758599,sad,23,12,Right,Right,correct
14,Experiment,3.0181205,neutral,36,1,Right,Right,correct
15,Experiment,2.7586082,neutral,30,5,Right,Right,correct
16,Experiment,8.5501849,neutral,28,11,Right,Right,correct
17,Experiment,4.8890071,anger,17,0,Left,Left,correct
18,Experiment,3.373434,sad,39,10,Right,Right,correct
19,Experiment,4.4451333,sad,27,2,Right,Right,correct
20,Experiment,1.1888903,sad,30,4,Right,Right,correct
21,Experiment,5.2733631,anger,10,14,Left,Left,correct
22,Experiment,4.9921472,sad,22,5,Right,Right,correct
23,Experiment,18.7775366,neutral,21,15,Right,Right,correct
24,Experiment,5.940154,sad,4,11,Left,Left,correct
25,Experiment,1.5007898,sad,0,5,Left,Left,correct
26,Experiment,1.1176499,sad,14,6,Left,Left,correct
27,Experiment,1.7640921,anger,38,14,Right,Right,correct
28,Experiment,1.4133307,neutral,18,3,Left,Left,correct
29,Experiment,1.7561835,sad,10,9,Left,Left,correct
30,Experiment,0.7163572,sad,12,7,Left,Left,correct
31,Experiment,2.4694633,neutral,31,10,Right,Right,correct
32,Experiment,1.6251249,neutral,10,4,Left,Left,correct
33,Experiment,0.5865342,neutral,30,4,Right,Right,correct
34,Experiment,0.9481198,sad,18,5,Left,Left,correct
35,Experiment,2.0087574,anger,23,9,Right,Right,correct
36,Experiment,3.9499567,sad,26,12,Right,Right,correct
37,Experiment,4.0546371,neutral,38,15,Right,Right,correct
38,Experiment,2.4404643,neutral,13,4,Left,Left,correct
39,Experiment,1.1142451,sad,3,3,Left,Left,correct
40,Experiment,2.3816998,anger,37,5,Right,Right,correct
41,Experiment,3.80541,anger,35,10,Right,Right,correct
42,Experiment,3.8100687,anger,21,12,Right,Right,correct
43,Experiment,1.6389541,neutral,5,4,Left,Left,correct
44,Experiment,0.9130658,neutral,22,3,Right,Right,correct
45,Experiment,2.4662951,anger,3,11,Left,Left,correct
46,Experiment,1.3747409,anger,15,3,Left,Left,correct
47,Experiment,4.9020325,sad,2,1,Left,Left,correct
48,Experiment,2.3095996,neutral,32,1,Right,Right,correct
49,Experiment,4.8226806,neutral,15,13,Left,Right,incorrect
50,Experiment,4.27E-05,sad,10,2,Left,Left,correct
51,Experiment,5.6040937,anger,29,7,Right,Right,correct
52,Experiment,4.059257,sad,27,0,Right,Right,correct
53,Experiment,2.4448431,sad,5,5,Left,Left,correct
54,Experiment,7.3113304,sad,18,15,Left,Left,correct
55,Experiment,2.5169599,neutral,7,11,Left,Left,correct
56,Experiment,1.2160059,neutral,29,9,Right,Right,correct
57,Experiment,2.9749218,anger,12,12,Left,Left,correct
58,Experiment,8.6009131,neutral,18,6,Left,Left,correct
59,Experiment,1.4807912,neutral,14,2,Left,Left,correct
60,Experiment,2.7898139,neutral,30,5,Right,Right,correct
61,Experiment,2.4973635,anger,11,9,Left,Left,correct
62,Experiment,13.9132601,anger,36,0,Right,Right,correct
63,Experiment,8.1077619,neutral,21,12,Right,Right,correct
64,Experiment,3.5076304,anger,5,12,Left,Left,correct
65,Experiment,1.4247712,anger,17,11,Left,Left,correct
66,Experiment,8.8220657,sad,15,14,Left,Left,correct
67,Experiment,8.6940493,neutral,19,7,Left,Left,correct
68,Experiment,4.5730992,neutral,14,9,Left,Left,correct
69,Experiment,6.6977833,anger,21,7,Right,Right,correct
70,Experiment,2.3763344,anger,2,3,Left,Left,correct
71,Experiment,2.9148192,anger,22,11,Right,Right,correct
