Version,pt_num,Age,Gender,Handedness,trial_nbr,block_number,rt,soa,acc,category,choiced_category,manipulation,difficulty,mask,type_occl,size_occl,filename,mask_filename,task,pressed_key,correct_key,Experiment Duration
V3,10,29,Male,Right,1,Training,2.971056399997906,0.025,true,person,person,occlusion,low,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_low_person189.png,mask_img/000000003483.png,training,e,e,366.87704370000574
V3,10,29,Male,Right,2,Training,3.2407487999880686,0.1,false,banana,building,occlusion,low,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_low_banana454.png,mask_img/000000002337.png,training,q,w,371.393553300004
V3,10,29,Male,Right,3,Training,1.4584731000068132,0.1,true,building,building,occlusion,high,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_high_building24.png,mask_img/000000000873.png,training,q,q,374.1747092000005
V3,10,29,Male,Right,4,Training,2.0804368000099203,0.025,true,firehydrant,firehydrant,occlusion,control,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_control_firehydrant90.png,mask_img/000000005131.png,training,i,i,377.81536570000753
V3,10,29,Male,Right,5,Training,2.6898949000024004,0.025,true,tree,tree,occlusion,low,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_low_tree9.png,mask_img/000000003694.png,training,r,r,381.7698195999983
V3,10,29,Male,Right,6,Training,1.2859822000027634,0.025,true,building,building,occlusion,low,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_low_building24.png,mask_img/000000002822.png,training,q,q,384.5823335000023
V3,10,29,Male,Right,7,Training,1.66242800001055,0.1,true,tree,tree,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_tree9.png,mask_img/000000007325.png,training,r,r,387.67607100000896
V3,10,29,Male,Right,8,Training,3.295419399990351,0.025,false,firehydrant,bus,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_firehydrant90.png,mask_img/000000006146.png,training,o,i,392.11917849999736
V3,10,29,Male,Right,9,Training,1.907634600007441,0.025,true,firehydrant,firehydrant,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_firehydrant90.png,mask_img/000000000459.png,training,i,i,395.3995442000014
V3,10,29,Male,Right,10,Training,2.463601200011908,0.05,false,bus,person,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_bus180.png,mask_img/000000006709.png,training,e,o,399.4321564999991
V3,10,29,Male,Right,11,Training,1.5735039999999572,0.1,true,person,person,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_person189.png,mask_img/000000007179.png,training,e,e,402.119735100001
V3,10,29,Male,Right,12,Training,2.929365099989809,0.1,false,cat,bird,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_cat432.png,mask_img/000000005862.png,training,p,u,406.182258300003
V3,10,29,Male,Right,13,Training,3.079011299996637,0.1,true,person,person,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_person189.png,mask_img/000000006153.png,training,e,e,410.7928677000018
V3,10,29,Male,Right,14,Training,1.880694500010577,0.05,true,banana,banana,occlusion,control,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_control_banana454.png,mask_img/000000004239.png,training,w,w,413.79291360000207
V3,10,29,Male,Right,15,Training,1.7673303999908967,0.1,false,bird,tree,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_bird4.png,mask_img/000000005418.png,training,r,p,417.08982419999666
V3,10,29,Male,Right,16,Training,1.0815370999916922,0.05,true,building,building,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_building24.png,mask_img/000000000312.png,training,q,q,419.5741953999968
V3,10,29,Male,Right,17,Training,2.83986220000952,0.025,true,cat,cat,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_cat432.png,mask_img/000000006842.png,training,u,u,423.6657816000079
V3,10,29,Male,Right,18,Training,1.3049997000052826,0.025,false,tree,person,occlusion,high,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_high_tree9.png,mask_img/000000002197.png,training,e,r,426.1686331000092
V3,10,29,Male,Right,19,Training,1.1147318000002997,0.025,true,tree,tree,occlusion,control,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_control_tree9.png,mask_img/000000005282.png,training,r,r,428.45104770000034
V3,10,29,Male,Right,20,Training,1.3088368000026094,0.05,false,bus,building,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_bus180.png,mask_img/000000005615.png,training,q,o,431.2311112000025
V3,10,29,Male,Right,21,Training,1.4320520000037504,0.025,true,tree,tree,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_tree9.png,mask_img/000000006263.png,training,r,r,434.1217556000047
V3,10,29,Male,Right,22,Training,2.0457121999934316,0.1,true,banana,banana,occlusion,control,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_control_banana454.png,mask_img/000000004239.png,training,w,w,437.4186708000052
V3,10,29,Male,Right,23,Training,1.271967799999402,0.05,true,tree,tree,occlusion,low,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_low_tree9.png,mask_img/000000003694.png,training,r,r,440.106222900009
V3,10,29,Male,Right,24,Training,1.0231392999994569,0.05,true,tree,tree,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_tree9.png,mask_img/000000007325.png,training,r,r,442.5123225999996
V3,10,29,Male,Right,25,Training,1.3669188000058057,0.05,true,banana,banana,occlusion,low,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_low_banana454.png,mask_img/000000002337.png,training,w,w,445.1700265999971
V3,10,29,Male,Right,26,Training,1.32307800000126,0.05,true,building,building,occlusion,high,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_high_building24.png,mask_img/000000000873.png,training,q,q,447.998205099997
V3,10,29,Male,Right,27,Training,2.646422200006782,0.025,false,cat,firehydrant,occlusion,high,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_high_cat432.png,mask_img/000000001647.png,training,i,u,451.935673400003
V3,10,29,Male,Right,28,Training,1.7152707000059308,0.1,true,bus,bus,occlusion,low,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_low_bus180.png,mask_img/000000002892.png,training,o,o,454.85147960000904
V3,10,29,Male,Right,29,Training,1.4972332999896025,0.025,true,firehydrant,firehydrant,occlusion,low,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_low_firehydrant90.png,mask_img/000000003225.png,training,i,i,457.61647110000195
V3,10,29,Male,Right,30,Training,1.3798055999941425,0.05,true,bird,bird,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_bird4.png,mask_img/000000000109.png,training,p,p,460.33899050000764
V3,10,29,Male,Right,31,Training,1.5694977999955881,0.025,false,firehydrant,building,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_firehydrant90.png,mask_img/000000006870.png,training,q,i,463.1490136000066
V3,10,29,Male,Right,32,Training,1.5670880999969086,0.1,true,banana,banana,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_banana454.png,mask_img/000000000042.png,training,w,w,466.0709746000066
