pt_num,Age,Gender,Handedness,trial_nbr,block_number,rt,soa,acc,category,choiced_category,manipulation,difficulty,mask,type_occl,size_occl,filename,mask_filename,task,pressed_key,correct_key,Experiment Duration
2,23,Female,Right,1,Training,3.1689963,0.1,FALSE,person,bird,occlusion,high,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_high_person189.png,mask_img/000000001997.png,training,q,i,346.2986444
2,23,Female,Right,2,Training,1.7743618,0.025,TRUE,cat,cat,occlusion,control,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_control_cat432.png,mask_img/000000005105.png,training,o,o,349.6125394
2,23,Female,Right,3,Training,1.3491362,0.025,TRUE,firehydrant,firehydrant,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_firehydrant90.png,mask_img/000000000459.png,training,r,r,352.2687435
2,23,Female,Right,4,Training,2.1021451,0.025,TRUE,bus,bus,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_bus180.png,mask_img/000000006709.png,training,e,e,355.8780395
2,23,Female,Right,5,Training,2.8039367,0.025,FALSE,tree,building,occlusion,control,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_control_tree9.png,mask_img/000000005282.png,training,p,u,360.1592778
2,23,Female,Right,6,Training,1.9095742,0.1,FALSE,bus,bird,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_bus180.png,mask_img/000000006709.png,training,q,e,363.2842803
2,23,Female,Right,7,Training,1.5406239,0.1,TRUE,building,building,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_building24.png,mask_img/000000000312.png,training,p,p,366.269272
2,23,Female,Right,8,Training,1.3485977,0.025,TRUE,bird,bird,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_bird4.png,mask_img/000000000109.png,training,q,q,369.2139781
2,23,Female,Right,9,Training,1.1142233,0.1,TRUE,firehydrant,firehydrant,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_firehydrant90.png,mask_img/000000000459.png,training,r,r,371.5420078
2,23,Female,Right,10,Training,0.9763457,0.1,TRUE,firehydrant,firehydrant,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_firehydrant90.png,mask_img/000000006870.png,training,r,r,373.8950657
2,23,Female,Right,11,Training,1.7885171,0.1,TRUE,cat,cat,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_cat432.png,mask_img/000000000438.png,training,o,o,377.3950168
2,23,Female,Right,12,Training,2.0157349,0.05,TRUE,bus,bus,occlusion,high,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_high_bus180.png,mask_img/000000001053.png,training,e,e,380.5982766
2,23,Female,Right,13,Training,1.1993112,0.05,TRUE,building,building,occlusion,control,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_control_building24.png,mask_img/000000004739.png,training,p,p,383.1138587
2,23,Female,Right,14,Training,1.0054445,0.05,TRUE,person,person,occlusion,high,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_high_person189.png,mask_img/000000001997.png,training,i,i,385.4744263
2,23,Female,Right,1,Block 1,2.057556,0.025,FALSE,banana,building,occlusion,low,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\low\manysmall_partialViewing_low_banana3.png,mask_img/000000054875.png,experiment,p,w,501.3593429
2,23,Female,Right,2,Block 1,1.2113089,0.025,TRUE,bus,bus,occlusion,low,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\low\fewlarge_partialViewing_low_bus1.png,mask_img/000000025820.png,experiment,e,e,503.4551241
2,23,Female,Right,3,Block 1,1.1448941,0.05,TRUE,banana,banana,occlusion,control,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\control\manysmall_partialViewing_control_banana8.png,mask_img/000000033904.png,experiment,w,w,505.623127
2,23,Female,Right,4,Block 1,1.10168,0.025,TRUE,firehydrant,firehydrant,occlusion,low,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\low\fewlarge_partialViewing_low_firehydrant1.png,mask_img/000000028304.png,experiment,r,r,507.8311847
2,23,Female,Right,5,Block 1,1.5004294,0.025,FALSE,building,bus,occlusion,high,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\high\fewlarge_partialViewing_high_building10.png,mask_img/000000014428.png,experiment,e,p,510.087153
2,23,Female,Right,6,Block 1,1.1374857,0.05,TRUE,person,person,occlusion,high,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\high\manysmall_partialViewing_high_person5.png,mask_img/000000052250.png,experiment,i,i,512.3031491
2,23,Female,Right,7,Block 1,1.6149091,0.1,TRUE,bus,bus,occlusion,high,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\high\fewlarge_partialViewing_high_bus8.png,mask_img/000000016715.png,experiment,e,e,515.0552308
2,23,Female,Right,8,Block 1,1.3679873,0.1,TRUE,building,building,occlusion,low,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\low\manysmall_partialViewing_low_building9.png,mask_img/000000058102.png,experiment,p,p,517.5675141
