Trial Number,Condition,Reaction Time,Accuracy,Stimulus Category,Participant Choice Category
1,Feedback,0.9255598,correct,C://Users//veoni//Desktop//THESIS//Task//Everything//ms_bloblowmatched_tree9.png,tree
2,Feedback,0.6611855,incorrect,C://Users//veoni//Desktop//THESIS//Task//Everything//lp_matched_firehydrant7.png,fire hydrant
3,Feedback,0.9517118,correct,C://Users//veoni//Desktop//THESIS//Task//Everything//ms_deletionlowmatched_person10.png,person
4,Feedback,1.9245396,correct,C://Users//veoni//Desktop//THESIS//Task//Everything//deletionhighmatched_building8.png,building
5,Feedback,2.2809553,incorrect,C://Users//veoni//Desktop//THESIS//Task//Everything//deletionlowmatched_person7.png,bird
6,Feedback,0.6310294,incorrect,C://Users//veoni//Desktop//THESIS//Task//Everything//ms_partialViewinghighmatched_bus2.png,person
7,Feedback,0.6407796,correct,C://Users//veoni//Desktop//THESIS//Task//Everything//deletionhighmatched_bus9.png,bus
8,Feedback,0.5103117,incorrect,C://Users//veoni//Desktop//THESIS//Task//Everything//partialViewinglowmatched_person7.png,building
9,Feedback,0.2446862,correct,C://Users//veoni//Desktop//THESIS//Task//Everything//deletionhighmatched_person9.png,person
10,Feedback,0.4554957,incorrect,C://Users//veoni//Desktop//THESIS//Task//Everything//ms_partialViewinglowmatched_tree9.png,person
11,Feedback,9.37E-05,incorrect,C://Users//veoni//Desktop//THESIS//Task//Everything//hp_matched_banana8.png,building
