,filename,mask_filename,category,manipulation,difficulty,mask,type_occl,size_occl
0,MSK Task/Stimulus/all_stim/occlusion/few_large/deletion/high/fewlargedeletionhighbanana2.png,mask_img/000000064155.png,banana,occlusion,high,mask,deletion,few large
1,MSK Task/Stimulus/all_stim/occlusion/few_large/deletion/high/fewlargedeletionhighcat5.png,mask_img/000000554275.png,cat,occlusion,high,mask,deletion,few large
2,MSK Task/Stimulus/all_stim/occlusion/few_large/deletion/high/fewlargedeletionhighfirehydrant1.png,mask_img/000000393203.png,firehydrant,occlusion,high,mask,deletion,few large
3,MSK Task/Stimulus/all_stim/occlusion/few_large/deletion/high/fewlargedeletionhighcat4.png,mask_img/000000353999.png,cat,occlusion,high,mask,deletion,few large
4,MSK Task/Stimulus/all_stim/occlusion/few_large/deletion/high/fewlargedeletionhighbanana3.png,mask_img/000000247052.png,banana,occlusion,high,mask,deletion,few large
5,MSK Task/Stimulus/all_stim/occlusion/few_large/deletion/high/fewlargedeletionhighbanana1.png,mask_img/000000414137.png,banana,occlusion,high,mask,deletion,few large
6,MSK Task/Stimulus/all_stim/occlusion/few_large/deletion/high/fewlargedeletionhighcat6.png,mask_img/000000557768.png,cat,occlusion,high,mask,deletion,few large
7,MSK Task/Stimulus/all_stim/occlusion/few_large/deletion/high/fewlargedeletionhighfirehydrant2.png,mask_img/000000195812.png,firehydrant,occlusion,high,mask,deletion,few large
8,MSK Task/Stimulus/all_stim/occlusion/few_large/deletion/high/fewlargedeletionhighfirehydrant3.png,mask_img/000000213403.png,firehydrant,occlusion,high,mask,deletion,few large
9,MSK Task/Stimulus/all_stim/occlusion/few_large/deletion/high/fewlargedeletionhighcat7.png,mask_img/000000234902.png,cat,occlusion,high,mask,deletion,few large
10,MSK Task/Stimulus/all_stim/occlusion/few_large/deletion/high/fewlargedeletionhighbanana4.png,mask_img/000000522491.png,banana,occlusion,high,mask,deletion,few large
11,MSK Task/Stimulus/all_stim/occlusion/few_large/deletion/high/fewlargedeletionhighcat3.png,mask_img/000000366933 2.png,cat,occlusion,high,mask,deletion,few large
12,MSK Task/Stimulus/all_stim/occlusion/few_large/deletion/high/fewlargedeletionhighfirehydrant7.png,mask_img/000000185397.png,firehydrant,occlusion,high,mask,deletion,few large
13,MSK Task/Stimulus/all_stim/occlusion/few_large/deletion/high/fewlargedeletionhighfirehydrant6.png,mask_img/000000042810.png,firehydrant,occlusion,high,mask,deletion,few large
14,MSK Task/Stimulus/all_stim/occlusion/few_large/deletion/high/fewlargedeletionhighcat2.png,mask_img/000000190942.png,cat,occlusion,high,mask,deletion,few large
15,MSK Task/Stimulus/all_stim/occlusion/few_large/deletion/high/fewlargedeletionhighbanana5.png,mask_img/000000298418.png,banana,occlusion,high,mask,deletion,few large
16,MSK Task/Stimulus/all_stim/occlusion/few_large/deletion/high/fewlargedeletionhighbanana7.png,mask_img/000000562937.png,banana,occlusion,high,mask,deletion,few large
