pt_num,Age,Gender,Handedness,trial_nbr,block_number,rt,soa,acc,category,choiced_category,manipulation,difficulty,mask,type_occl,size_occl,filename,mask_filename,task,pressed_key,correct_key,Experiment Duration
3,21,Male,Right,1,Training,9.296198300005926,0.025,false,firehydrant,bus,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_firehydrant154.png,mask_img/000000000459.png,training,w,r,338.9412083999996
3,21,Male,Right,2,Training,2.000685400002112,0.1,true,firehydrant,firehydrant,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_firehydrant154.png,mask_img/000000000459.png,training,r,r,342.0168470999997
3,21,Male,Right,3,Training,2.198638200003188,0.1,true,bird,bird,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_bird394.png,mask_img/000000000109.png,training,p,p,345.6965558000011
3,21,Male,Right,4,Training,10.681722600005742,0.05,false,banana,NAN,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_banana589.png,mask_img/000000000042.png,training,NAN,q,357.5125449999978
3,21,Male,Right,5,Training,3.5985911000025226,0.025,false,tree,building,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_tree25.png,mask_img/000000006263.png,training,o,i,362.49756499999785
3,21,Male,Right,6,Training,1.48135939999338,0.05,false,bus,building,occlusion,high,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_high_bus929.png,mask_img/000000001053.png,training,o,w,365.20112649999646
3,21,Male,Right,7,Training,3.7802641000016592,0.1,false,firehydrant,bird,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_firehydrant205.png,mask_img/000000006870.png,training,p,r,370.10745809999935
3,21,Male,Right,8,Training,1.6976451000009547,0.05,true,building,building,occlusion,high,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_high_building71.png,mask_img/000000000873.png,training,o,o,373.3276110000006
3,21,Male,Right,9,Training,1.8334528999985196,0.05,true,building,building,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_building48.png,mask_img/000000005574.png,training,o,o,376.51734769999894
3,21,Male,Right,10,Training,3.419985100001213,0.1,false,bird,bus,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_bird1073.png,mask_img/000000005418.png,training,w,p,381.0029272999964
