pt_num,trial_nbr,block_number,rt,soa,acc,category,choiced_category,manipulation,difficulty,mask,type_occl,size_occl,filename,mask_filename,task,pressed_key,correct_key
12,1,Training,1.5042796999987331,0.1,correct,tree,tree,occlusion,low,no mask,partial viewing,,Training\Training Stimulus\partialViewinglowmatched_tree30.png,./mask_img/grey_square.png,training,u,u
12,2,Training,1.265308999994886,0.1,correct,bus,bus,occlusion,low,mask,partial viewing,,Training\Training Stimulus\partialViewinglowmatched_bus127.png,mask_img/000000006590.png,training,p,p
12,3,Training,1.6161315999997896,0.05,correct,firehydrant,firehydrant,occlusion,low,no mask,partial viewing,,Training\Training Stimulus\partialViewinglowmatched_firehydrant149.png,./mask_img/grey_square.png,training,w,w
12,4,Training,0.8814444999952684,0.1,correct,firehydrant,firehydrant,occlusion,low,no mask,blob,,Training\Training Stimulus\bloblowmatched_firehydrant570.png,./mask_img/grey_square.png,training,w,w
12,5,Training,1.5033485000021756,0.2,correct,building,building,control,control,mask,,,Training\Training Stimulus\control_building95.png,mask_img/000000002239.png,training,e,e
12,6,Training,1.65901660000236,0.1,correct,banana,banana,control,control,mask,,,Training\Training Stimulus\control_banana3666.png,mask_img/000000001966.png,training,i,i
12,7,Training,1.197295199999644,0.05,false,bus,building,occlusion,high,mask,partial viewing,,Training\Training Stimulus\partialViewinghighmatched_bus765.png,mask_img/000000005619.png,training,e,p
12,8,Training,0.9360470000028727,0.05,correct,building,building,occlusion,high,no mask,blob,,Training\Training Stimulus\blobhighmatched_building13.png,./mask_img/grey_square.png,training,e,e
12,9,Training,1.3663109999979497,0.05,correct,person,person,occlusion,high,no mask,deletion,,Training\Training Stimulus\deletionhighmatched_person71.png,./mask_img/grey_square.png,training,r,r
12,10,Training,0.9262096000020392,0.2,false,firehydrant,person,occlusion,high,no mask,deletion,,Training\Training Stimulus\deletionhighmatched_firehydrant226.png,./mask_img/grey_square.png,training,r,w
12,11,Training,1.0361040999996476,0.2,correct,firehydrant,firehydrant,occlusion,low,no mask,deletion,,Training\Training Stimulus\deletionlowmatched_firehydrant552.png,./mask_img/grey_square.png,training,w,w
12,12,Training,1.8687307999935001,0.2,correct,bird,bird,occlusion,low,mask,blob,,Training\Training Stimulus\bloblowmatched_bird289.png,mask_img/000000001282.png,training,q,q
12,13,Training,1.5408067000025767,0.05,correct,banana,banana,control,control,mask,,,Training\Training Stimulus\control_banana3666.png,mask_img/000000001966.png,training,i,i
12,14,Training,1.348750500001188,0.05,false,bird,cat,occlusion,high,mask,partial viewing,,Training\Training Stimulus\partialViewinghighmatched_bird2883.png,mask_img/000000005385.png,training,o,q
