pt_num,Age,Gender,Handedness,trial_nbr,block_number,rt,soa,acc,category,choiced_category,manipulation,difficulty,mask,type_occl,size_occl,filename,mask_filename,task,pressed_key,correct_key,Experiment Duration
4,19,Male,Right,1,Training,2.3294102999934694,0.05,true,firehydrant,firehydrant,occlusion,control,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_control_firehydrant154.png,mask_img/000000005131.png,training,e,e,273.58861649999744
4,19,Male,Right,2,Training,3.340282900011516,0.1,true,bird,bird,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_bird394.png,mask_img/000000000109.png,training,p,p,277.99829339999997
4,19,Male,Right,3,Training,2.4890396000118926,0.025,true,bus,bus,occlusion,control,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_control_bus630.png,mask_img/000000004936.png,training,w,w,281.89764039999864
4,19,Male,Right,4,Training,9.162995699996827,0.025,false,firehydrant,banana,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_firehydrant205.png,mask_img/000000006870.png,training,u,e,292.13481709999905
4,19,Male,Right,5,Training,2.5164393999875756,0.025,false,firehydrant,tree,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_firehydrant90.png,mask_img/000000006146.png,training,q,e,295.93902649999654
4,19,Male,Right,6,Training,1.3081443999981275,0.025,true,tree,tree,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_tree17.png,mask_img/000000000626.png,training,q,q,298.6589835999912
4,19,Male,Right,7,Training,3.153141200004029,0.025,false,person,cat,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_person475.png,mask_img/000000000595.png,training,o,i,303.3363357000053
4,19,Male,Right,8,Training,2.1197718999901554,0.1,true,cat,cat,occlusion,control,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_control_cat511.png,mask_img/000000005105.png,training,o,o,306.85903779999353
4,19,Male,Right,9,Training,2.9272945999982767,0.1,false,firehydrant,cat,occlusion,high,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_high_firehydrant90.png,mask_img/000000001810.png,training,o,e,311.18050400000357
4,19,Male,Right,10,Training,1.7566828999988502,0.025,false,bus,firehydrant,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_bus630.png,mask_img/000000006709.png,training,e,w,314.14059209999687
4,19,Male,Right,11,Training,2.6756922000058694,0.025,false,bird,person,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_bird394.png,mask_img/000000006481.png,training,i,p,318.2355272999994
4,19,Male,Right,12,Training,1.7092803999985335,0.025,true,firehydrant,firehydrant,occlusion,low,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_low_firehydrant205.png,mask_img/000000003225.png,training,e,e,321.31365959999675
4,19,Male,Right,13,Training,2.4902115000004414,0.05,true,person,person,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_person475.png,mask_img/000000000595.png,training,i,i,325.01818549999734
