pt_num,Age,Gender,Handedness,trial_nbr,block_number,rt,soa,acc,category,choiced_category,manipulation,difficulty,mask,type_occl,size_occl,filename,mask_filename,task,pressed_key,correct_key
56789,23,Male,Right,1,Training,1.944534600013867,0.05,true,building,building,occlusion,high,mask,deletion,,Training\Training Stimulus\deletionhighmatched_building66.png,mask_img/000000004739.png,training,i,i
56789,23,Male,Right,2,Training,1.8487654000055045,0.2,true,person,person,occlusion,low,mask,deletion,,Training\Training Stimulus\deletionlowmatched_person1622.png,mask_img/000000006153.png,training,o,o
56789,23,Male,Right,3,Training,1.728341999987606,0.05,true,building,building,occlusion,high,no mask,partial viewing,,Training\Training Stimulus\partialViewinghighmatched_building21.png,./mask_img/grey_square.png,training,i,i
56789,23,Male,Right,4,Training,1.4884496000013314,0.2,false,cat,bird,occlusion,high,mask,partial viewing,,Training\Training Stimulus\partialViewinghighmatched_cat864.png,mask_img/000000006842.png,training,e,r
56789,23,Male,Right,5,Training,1.250856600003317,0.2,true,person,person,occlusion,high,no mask,blob,,Training\Training Stimulus\blobhighmatched_person2850.png,./mask_img/grey_square.png,training,o,o
56789,23,Male,Right,6,Training,1.3944791000103578,0.05,true,tree,tree,control,control,no mask,,,Training\Training Stimulus\control_tree2.png,./mask_img/grey_square.png,training,p,p
56789,23,Male,Right,7,Training,1.513784900016617,0.2,true,banana,banana,occlusion,low,no mask,partial viewing,,Training\Training Stimulus\partialViewinglowmatched_banana3584.png,./mask_img/grey_square.png,training,q,q
56789,23,Male,Right,8,Training,1.2066486999974586,0.05,true,banana,banana,occlusion,high,no mask,deletion,,Training\Training Stimulus\deletionhighmatched_banana1970.png,./mask_img/grey_square.png,training,q,q
56789,23,Male,Right,9,Training,1.9190753999864683,0.1,true,bus,bus,occlusion,low,no mask,deletion,,Training\Training Stimulus\deletionlowmatched_bus1255.png,./mask_img/grey_square.png,training,u,u
56789,23,Male,Right,10,Training,1.5091748000122607,0.1,true,banana,banana,control,control,no mask,,,Training\Training Stimulus\control_banana3666.png,./mask_img/grey_square.png,training,q,q
56789,23,Male,Right,11,Training,3.146167200000491,0.1,true,cat,cat,occlusion,low,mask,partial viewing,,Training\Training Stimulus\partialViewinglowmatched_cat341.png,mask_img/000000007934.png,training,r,r
56789,23,Male,Right,12,Training,1.4335753999766894,0.05,false,cat,tree,occlusion,high,no mask,partial viewing,,Training\Training Stimulus\partialViewinghighmatched_cat864.png,./mask_img/grey_square.png,training,p,r
56789,23,Male,Right,13,Training,1.3488868999993429,0.1,true,person,person,occlusion,low,mask,deletion,,Training\Training Stimulus\deletionlowmatched_person1622.png,mask_img/000000006153.png,training,o,o
56789,23,Male,Right,14,Training,1.4786701999837533,0.1,true,bird,bird,occlusion,low,no mask,blob,,Training\Training Stimulus\bloblowmatched_bird289.png,./mask_img/grey_square.png,training,e,e
56789,23,Male,Right,15,Training,1.3884071999927983,0.2,true,firehydrant,firehydrant,occlusion,low,no mask,blob,,Training\Training Stimulus\bloblowmatched_firehydrant570.png,./mask_img/grey_square.png,training,w,w
56789,23,Male,Right,16,Training,1.0812377999536693,0.05,true,banana,banana,occlusion,high,mask,blob,,Training\Training Stimulus\blobhighmatched_banana2093.png,mask_img/000000000042.png,training,q,q
56789,23,Male,Right,17,Training,1.7675892999977805,0.05,true,building,building,occlusion,high,no mask,deletion,,Training\Training Stimulus\deletionhighmatched_building66.png,./mask_img/grey_square.png,training,i,i
56789,23,Male,Right,18,Training,1.2965208000387065,0.1,true,person,person,occlusion,high,no mask,deletion,,Training\Training Stimulus\deletionhighmatched_person71.png,./mask_img/grey_square.png,training,o,o
56789,23,Male,Right,19,Training,2.1120882999966852,0.05,true,bus,bus,control,control,mask,,,Training\Training Stimulus\control_bus180.png,mask_img/000000002892.png,training,u,u
56789,23,Male,Right,20,Training,1.359771199990064,0.05,true,person,person,occlusion,high,no mask,partial viewing,,Training\Training Stimulus\partialViewinghighmatched_person157.png,./mask_img/grey_square.png,training,o,o
56789,23,Male,Right,1,Block 1,2.03309939999599,0.2,true,person,person,occlusion,control,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_person8.png,mask_img/000000009729.png,experiment,o,o
56789,23,Male,Right,2,Block 1,1.332204999984242,0.05,true,cat,cat,occlusion,low,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\low\manysmall_partialViewing_low_cat7.png,mask_img/000000060158.png,experiment,r,r
56789,23,Male,Right,3,Block 1,1.639718400023412,0.1,true,building,building,occlusion,control,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_building4.png,mask_img/000000004239.png,experiment,i,i
56789,23,Male,Right,4,Block 1,2.3251120000495575,0.2,false,bus,building,occlusion,high,mask,partial viewing,many small,Stimulus\all_stim\occlusion\partialviewing\manysmall\high\manysmall_partialViewing_high_bus1.png,mask_img/000000046676.png,experiment,i,u
56789,23,Male,Right,5,Block 1,1.3163719000294805,0.05,true,building,building,occlusion,low,mask,partial viewing,few large,Stimulus\all_stim\occlusion\partialviewing\fewlarge\low\fewlarge_partialViewing_low_building9.png,mask_img/000000025516.png,experiment,i,i
