,filename,mask_filename,category,manipulation,difficulty,mask,type_occl,size_occl,soa
0,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_banana1.png,mask_img/000000000042.png,banana,occlusion,control,mask,partial viewing,few large,0.025
1,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_banana10.png,mask_img/000000000109.png,banana,occlusion,control,mask,partial viewing,few large,0.025
2,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_banana2.png,mask_img/000000000312.png,banana,occlusion,control,mask,partial viewing,few large,0.025
3,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_banana3.png,mask_img/000000000394.png,banana,occlusion,control,mask,partial viewing,few large,0.025
4,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_banana4.png,mask_img/000000000438.png,banana,occlusion,control,mask,partial viewing,few large,0.025
5,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_banana5.png,mask_img/000000000459.png,banana,occlusion,control,mask,partial viewing,few large,0.025
6,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_banana6.png,mask_img/000000000595.png,banana,occlusion,control,mask,partial viewing,few large,0.025
7,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_banana7.png,mask_img/000000000626.png,banana,occlusion,control,mask,partial viewing,few large,0.025
8,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_banana8.png,mask_img/000000000690.png,banana,occlusion,control,mask,partial viewing,few large,0.025
9,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_banana9.png,mask_img/000000000731.png,banana,occlusion,control,mask,partial viewing,few large,0.025
10,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_bird1.png,mask_img/000000000873.png,bird,occlusion,control,mask,partial viewing,few large,0.025
11,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_bird10.png,mask_img/000000001053.png,bird,occlusion,control,mask,partial viewing,few large,0.025
12,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_bird2.png,mask_img/000000001647.png,bird,occlusion,control,mask,partial viewing,few large,0.025
13,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_bird3.png,mask_img/000000001810.png,bird,occlusion,control,mask,partial viewing,few large,0.025
14,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_bird4.png,mask_img/000000001997.png,bird,occlusion,control,mask,partial viewing,few large,0.025
15,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_bird5.png,mask_img/000000002197.png,bird,occlusion,control,mask,partial viewing,few large,0.025
16,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_bird6.png,mask_img/000000002337.png,bird,occlusion,control,mask,partial viewing,few large,0.025
17,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_bird7.png,mask_img/000000002774.png,bird,occlusion,control,mask,partial viewing,few large,0.025
18,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_bird8.png,mask_img/000000002822.png,bird,occlusion,control,mask,partial viewing,few large,0.025
19,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_bird9.png,mask_img/000000002892.png,bird,occlusion,control,mask,partial viewing,few large,0.025
20,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_building1.png,mask_img/000000003084.png,building,occlusion,control,mask,partial viewing,few large,0.025
21,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_building10.png,mask_img/000000003225.png,building,occlusion,control,mask,partial viewing,few large,0.025
22,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_building2.png,mask_img/000000003483.png,building,occlusion,control,mask,partial viewing,few large,0.025
23,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_building3.png,mask_img/000000003694.png,building,occlusion,control,mask,partial viewing,few large,0.025
24,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_building4.png,mask_img/000000004239.png,building,occlusion,control,mask,partial viewing,few large,0.025
25,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_building5.png,mask_img/000000004642.png,building,occlusion,control,mask,partial viewing,few large,0.025
26,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_building6.png,mask_img/000000004739.png,building,occlusion,control,mask,partial viewing,few large,0.025
27,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_building7.png,mask_img/000000004936.png,building,occlusion,control,mask,partial viewing,few large,0.025
28,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_building8.png,mask_img/000000005105.png,building,occlusion,control,mask,partial viewing,few large,0.025
29,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_building9.png,mask_img/000000005131.png,building,occlusion,control,mask,partial viewing,few large,0.025
30,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_bus1.png,mask_img/000000005142.png,bus,occlusion,control,mask,partial viewing,few large,0.025
31,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_bus10.png,mask_img/000000005282.png,bus,occlusion,control,mask,partial viewing,few large,0.025
32,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_bus2.png,mask_img/000000005359.png,bus,occlusion,control,mask,partial viewing,few large,0.025
33,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_bus3.png,mask_img/000000005418.png,bus,occlusion,control,mask,partial viewing,few large,0.025
34,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_bus4.png,mask_img/000000005574.png,bus,occlusion,control,mask,partial viewing,few large,0.025
35,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_bus5.png,mask_img/000000005615.png,bus,occlusion,control,mask,partial viewing,few large,0.025
36,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_bus6.png,mask_img/000000005862.png,bus,occlusion,control,mask,partial viewing,few large,0.025
37,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_bus7.png,mask_img/000000006146.png,bus,occlusion,control,mask,partial viewing,few large,0.025
38,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_bus8.png,mask_img/000000006153.png,bus,occlusion,control,mask,partial viewing,few large,0.025
39,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_bus9.png,mask_img/000000006263.png,bus,occlusion,control,mask,partial viewing,few large,0.025
40,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_cat1.png,mask_img/000000006437.png,cat,occlusion,control,mask,partial viewing,few large,0.025
41,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_cat10.png,mask_img/000000006481.png,cat,occlusion,control,mask,partial viewing,few large,0.025
42,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_cat2.png,mask_img/000000006489.png,cat,occlusion,control,mask,partial viewing,few large,0.025
43,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_cat3.png,mask_img/000000006709.png,cat,occlusion,control,mask,partial viewing,few large,0.025
44,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_cat4.png,mask_img/000000006842.png,cat,occlusion,control,mask,partial viewing,few large,0.025
45,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_cat5.png,mask_img/000000006870.png,cat,occlusion,control,mask,partial viewing,few large,0.025
46,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_cat6.png,mask_img/000000007179.png,cat,occlusion,control,mask,partial viewing,few large,0.025
47,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_cat7.png,mask_img/000000007325.png,cat,occlusion,control,mask,partial viewing,few large,0.025
48,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_cat8.png,mask_img/000000007393.png,cat,occlusion,control,mask,partial viewing,few large,0.025
49,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_cat9.png,mask_img/000000007558.png,cat,occlusion,control,mask,partial viewing,few large,0.025
50,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_firehydrant1.png,mask_img/000000007740.png,firehydrant,occlusion,control,mask,partial viewing,few large,0.025
51,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_firehydrant10.png,mask_img/000000007758.png,firehydrant,occlusion,control,mask,partial viewing,few large,0.025
52,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_firehydrant2.png,mask_img/000000007934.png,firehydrant,occlusion,control,mask,partial viewing,few large,0.025
53,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_firehydrant3.png,mask_img/000000007946.png,firehydrant,occlusion,control,mask,partial viewing,few large,0.025
54,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_firehydrant4.png,mask_img/000000007952.png,firehydrant,occlusion,control,mask,partial viewing,few large,0.025
55,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_firehydrant5.png,mask_img/000000008006.png,firehydrant,occlusion,control,mask,partial viewing,few large,0.025
56,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_firehydrant6.png,mask_img/000000008025.png,firehydrant,occlusion,control,mask,partial viewing,few large,0.025
57,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_firehydrant7.png,mask_img/000000008053.png,firehydrant,occlusion,control,mask,partial viewing,few large,0.025
58,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_firehydrant8.png,mask_img/000000008193.png,firehydrant,occlusion,control,mask,partial viewing,few large,0.025
59,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_firehydrant9.png,mask_img/000000008329.png,firehydrant,occlusion,control,mask,partial viewing,few large,0.025
60,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_person1.png,mask_img/000000008341.png,person,occlusion,control,mask,partial viewing,few large,0.025
61,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_person10.png,mask_img/000000008469.png,person,occlusion,control,mask,partial viewing,few large,0.025
62,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_person2.png,mask_img/000000008787.png,person,occlusion,control,mask,partial viewing,few large,0.025
63,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_person3.png,mask_img/000000008920.png,person,occlusion,control,mask,partial viewing,few large,0.025
64,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_person4.png,mask_img/000000009178.png,person,occlusion,control,mask,partial viewing,few large,0.025
65,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_person5.png,mask_img/000000009286.png,person,occlusion,control,mask,partial viewing,few large,0.025
66,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_person6.png,mask_img/000000009469.png,person,occlusion,control,mask,partial viewing,few large,0.025
67,Stimulus\all_stim\occlusion\partialviewing\fewlarge\control\fewlarge_partialViewing_control_person7.png,mask_img/000000009648.png,person,occlusion,control,mask,partial viewing,few large,0.025
