,filename,mask_filename,category,manipulation,difficulty,mask,type_occl,size_occl,soa
0,Training\Training Stimulus\blobhighmatched_banana2093.png,mask_img/000000000009.png,banana,occlusion,high,mask,blob,null,0.05
1,Training\Training Stimulus\blobhighmatched_bird2861.png,mask_img/000000000294.png,bird,occlusion,high,mask,blob,null,0.05
2,Training\Training Stimulus\blobhighmatched_building13.png,mask_img/000000000510.png,building,occlusion,high,mask,blob,null,0.05
3,Training\Training Stimulus\blobhighmatched_bus480.png,mask_img/000000000562.png,bus,occlusion,high,mask,blob,null,0.05
4,Training\Training Stimulus\blobhighmatched_cat172.png,mask_img/000000000671.png,cat,occlusion,high,mask,blob,null,0.05
5,Training\Training Stimulus\blobhighmatched_firehydrant125.png,mask_img/000000000675.png,firehydrant,occlusion,high,mask,blob,null,0.05
6,Training\Training Stimulus\blobhighmatched_person2850.png,mask_img/000000000711.png,person,occlusion,high,mask,blob,null,0.05
7,Training\Training Stimulus\blobhighmatched_tree88.png,mask_img/000000001025.png,tree,occlusion,high,mask,blob,null,0.05
8,Training\Training Stimulus\bloblowmatched_banana3652.png,mask_img/000000001216.png,banana,occlusion,low,mask,blob,null,0.05
9,Training\Training Stimulus\bloblowmatched_bird289.png,mask_img/000000001282.png,bird,occlusion,low,mask,blob,null,0.05
10,Training\Training Stimulus\bloblowmatched_building64.png,mask_img/000000001563.png,building,occlusion,low,mask,blob,null,0.05
11,Training\Training Stimulus\bloblowmatched_bus938.png,mask_img/000000001573.png,bus,occlusion,low,mask,blob,null,0.05
12,Training\Training Stimulus\bloblowmatched_cat1021.png,mask_img/000000001599.png,cat,occlusion,low,mask,blob,null,0.05
13,Training\Training Stimulus\bloblowmatched_firehydrant570.png,mask_img/000000001810.png,firehydrant,occlusion,low,mask,blob,null,0.05
14,Training\Training Stimulus\bloblowmatched_person411.png,mask_img/000000001852.png,person,occlusion,low,mask,blob,null,0.05
15,Training\Training Stimulus\bloblowmatched_tree50.png,mask_img/000000001912.png,tree,occlusion,low,mask,blob,null,0.05
16,Training\Training Stimulus\control_banana3666.png,mask_img/000000001966.png,banana,control,control,mask,null,null,0.05
17,Training\Training Stimulus\control_bird259.png,mask_img/000000002068.png,bird,control,control,mask,null,null,0.05
18,Training\Training Stimulus\control_building95.png,mask_img/000000002239.png,building,control,control,mask,null,null,0.05
19,Training\Training Stimulus\control_bus180.png,mask_img/000000002562.png,bus,control,control,mask,null,null,0.05
20,Training\Training Stimulus\control_cat147.png,mask_img/000000002591.png,cat,control,control,mask,null,null,0.05
21,Training\Training Stimulus\control_firehydrant46.png,mask_img/000000002902.png,firehydrant,control,control,mask,null,null,0.05
22,Training\Training Stimulus\control_person1905.png,mask_img/000000003000.png,person,control,control,mask,null,null,0.05
23,Training\Training Stimulus\control_tree2.png,mask_img/000000003160.png,tree,control,control,mask,null,null,0.05
24,Training\Training Stimulus\deletionhighmatched_banana1970.png,mask_img/000000003236.png,banana,occlusion,high,mask,deletion,null,0.05
25,Training\Training Stimulus\deletionhighmatched_bird1657.png,mask_img/000000003320.png,bird,occlusion,high,mask,deletion,null,0.05
26,Training\Training Stimulus\deletionhighmatched_building66.png,mask_img/000000003729.png,building,occlusion,high,mask,deletion,null,0.05
27,Training\Training Stimulus\deletionhighmatched_bus696.png,mask_img/000000003779.png,bus,occlusion,high,mask,deletion,null,0.05
28,Training\Training Stimulus\deletionhighmatched_cat313.png,mask_img/000000003804.png,cat,occlusion,high,mask,deletion,null,0.05
29,Training\Training Stimulus\deletionhighmatched_firehydrant226.png,mask_img/000000003865.png,firehydrant,occlusion,high,mask,deletion,null,0.05
30,Training\Training Stimulus\deletionhighmatched_person71.png,mask_img/000000004444.png,person,occlusion,high,mask,deletion,null,0.05
31,Training\Training Stimulus\deletionhighmatched_tree71.png,mask_img/000000004497.png,tree,occlusion,high,mask,deletion,null,0.05
32,Training\Training Stimulus\deletionlowmatched_banana4227.png,mask_img/000000004706.png,banana,occlusion,low,mask,deletion,null,0.05
33,Training\Training Stimulus\deletionlowmatched_bird289.png,mask_img/000000004785.png,bird,occlusion,low,mask,deletion,null,0.05
34,Training\Training Stimulus\deletionlowmatched_building91.png,mask_img/000000004827.png,building,occlusion,low,mask,deletion,null,0.05
35,Training\Training Stimulus\deletionlowmatched_bus1255.png,mask_img/000000004920.png,bus,occlusion,low,mask,deletion,null,0.05
36,Training\Training Stimulus\deletionlowmatched_cat356.png,mask_img/000000004970.png,cat,occlusion,low,mask,deletion,null,0.05
37,Training\Training Stimulus\deletionlowmatched_firehydrant552.png,mask_img/000000005021.png,firehydrant,occlusion,low,mask,deletion,null,0.05
38,Training\Training Stimulus\deletionlowmatched_person1622.png,mask_img/000000005123.png,person,occlusion,low,mask,deletion,null,0.05
39,Training\Training Stimulus\deletionlowmatched_tree37.png,mask_img/000000005245.png,tree,occlusion,low,mask,deletion,null,0.05
40,Training\Training Stimulus\partialViewinghighmatched_banana726.png,mask_img/000000005313.png,banana,occlusion,high,mask,partial viewing,null,0.05
41,Training\Training Stimulus\partialViewinghighmatched_bird2883.png,mask_img/000000005385.png,bird,occlusion,high,mask,partial viewing,null,0.05
42,Training\Training Stimulus\partialViewinghighmatched_building21.png,mask_img/000000005443.png,building,occlusion,high,mask,partial viewing,null,0.05
43,Training\Training Stimulus\partialViewinghighmatched_bus765.png,mask_img/000000005619.png,bus,occlusion,high,mask,partial viewing,null,0.05
44,Training\Training Stimulus\partialViewinghighmatched_cat864.png,mask_img/000000006042.png,cat,occlusion,high,mask,partial viewing,null,0.05
