pt_num,Age,Gender,Handedness,trial_nbr,block_number,rt,soa,acc,category,choiced_category,manipulation,difficulty,mask,type_occl,size_occl,filename,mask_filename,task,pressed_key,correct_key,Experiment Duration
3,17,Male,Right,1,Training,1.9332340999972075,0.05,false,building,bus,occlusion,control,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_control_building24.png,mask_img/000000004739.png,training,w,q,193.3810752999998
3,17,Male,Right,2,Training,3.142057399993064,0.025,true,firehydrant,firehydrant,occlusion,control,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_control_firehydrant90.png,mask_img/000000005131.png,training,u,u,197.6137432999967
3,17,Male,Right,3,Training,1.639294799999334,0.125,false,person,cat,occlusion,high,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_high_person189.png,mask_img/000000001997.png,training,o,i,200.629923600005
3,17,Male,Right,4,Training,3.015723099990282,0.025,false,bird,tree,occlusion,high,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_high_bird4.png,mask_img/000000000731.png,training,r,p,205.06834860000527
3,17,Male,Right,5,Training,1.7457517000002554,0.025,false,banana,bus,occlusion,low,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_low_banana454.png,mask_img/000000002337.png,training,w,e,208.2366655000078
3,17,Male,Right,6,Training,1.5138379000127316,0.05,true,bus,bus,occlusion,high,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_high_bus180.png,mask_img/000000001053.png,training,w,w,210.97749449999537
3,17,Male,Right,7,Training,2.031463099992834,0.125,true,cat,cat,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_cat432.png,mask_img/000000000438.png,training,o,o,214.27476970000134
3,17,Male,Right,8,Training,1.1857272000052035,0.05,true,bus,bus,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_bus180.png,mask_img/000000000394.png,training,w,w,216.8222228000086
3,17,Male,Right,9,Training,1.5766665999981342,0.05,false,banana,tree,occlusion,high,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_high_banana454.png,mask_img/000000000690.png,training,r,e,219.55689590000839
3,17,Male,Right,10,Training,2.4276305999956094,0.025,false,person,banana,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_person189.png,mask_img/000000006153.png,training,e,i,223.1038341000094
3,17,Male,Right,11,Training,1.4669181000062963,0.125,true,building,building,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_building24.png,mask_img/000000005574.png,training,q,q,225.9683997999964
3,17,Male,Right,12,Training,1.1348249000002397,0.025,false,cat,building,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_cat432.png,mask_img/000000005862.png,training,q,o,228.5534023000073
3,17,Male,Right,13,Training,1.2740684000018518,0.125,true,bus,bus,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_bus180.png,mask_img/000000006709.png,training,w,w,231.03768039999704
3,17,Male,Right,14,Training,1.7562761999870418,0.05,false,cat,tree,occlusion,low,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_low_cat432.png,mask_img/000000003084.png,training,r,o,234.2107842999976
3,17,Male,Right,15,Training,2.3519892999902368,0.125,true,firehydrant,firehydrant,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_firehydrant90.png,mask_img/000000006870.png,training,u,u,237.96085960000346
3,17,Male,Right,16,Training,0.8901552000024822,0.125,false,banana,bus,occlusion,high,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_high_banana454.png,mask_img/000000000690.png,training,w,e,240.19025410000177
3,17,Male,Right,17,Training,1.1046617999963928,0.025,false,building,bus,occlusion,high,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_high_building24.png,mask_img/000000000873.png,training,w,q,242.70629149999877
3,17,Male,Right,18,Training,1.1356570000061765,0.125,true,bus,bus,occlusion,low,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_low_bus180.png,mask_img/000000002892.png,training,w,w,245.19692430000578
3,17,Male,Right,19,Training,1.5581688999955077,0.025,false,firehydrant,person,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_firehydrant90.png,mask_img/000000000459.png,training,i,u,247.8846038000047
3,17,Male,Right,20,Training,1.2759941999975126,0.125,true,bus,bus,occlusion,control,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_control_bus180.png,mask_img/000000004936.png,training,w,w,250.36928199999966
3,17,Male,Right,21,Training,2.3441681999975117,0.05,true,person,person,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_person189.png,mask_img/000000006153.png,training,i,i,253.87590890000865
3,17,Male,Right,22,Training,1.2887157000077423,0.125,true,banana,banana,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_banana454.png,mask_img/000000000042.png,training,e,e,256.2979373999988
3,17,Male,Right,23,Training,1.2345072000025539,0.025,false,building,bus,occlusion,control,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_control_building24.png,mask_img/000000004739.png,training,w,q,258.9164698999957
3,17,Male,Right,24,Training,2.0006067999929655,0.025,true,bird,bird,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_bird4.png,mask_img/000000005418.png,training,p,p,262.0884217999992
