pt_num,Age,Gender,Handedness,trial_nbr,block_number,rt,soa,acc,category,choiced_category,manipulation,difficulty,mask,type_occl,size_occl,filename,mask_filename,task,pressed_key,correct_key,Experiment Duration
1,28,Female,Right,1,Training,2.445524299999988,0.1,true,bus,bus,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_bus180.png,mask_img/000000000394.png,training,u,u,307.6264397
1,28,Female,Right,2,Training,3.53222310000001,0.1,true,bird,bird,occlusion,control,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_control_bird4.png,mask_img/000000004642.png,training,w,w,312.3295246
1,28,Female,Right,3,Training,7.598944399999937,0.05,false,banana,building,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_banana454.png,mask_img/000000005359.png,training,o,r,321.26888729999996
1,28,Female,Right,4,Training,2.4564989000000423,0.1,false,cat,bird,occlusion,high,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_high_cat432.png,mask_img/000000001647.png,training,w,q,325.30049999999994
1,28,Female,Right,5,Training,4.423623600000042,0.025,false,tree,bus,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_tree9.png,mask_img/000000007325.png,training,u,p,330.9253251
1,28,Female,Right,6,Training,2.4948719999999867,0.05,false,cat,banana,occlusion,low,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_low_cat432.png,mask_img/000000003084.png,training,r,q,335.00343609999993
1,28,Female,Right,7,Training,1.9062820999999985,0.1,true,person,person,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_person189.png,mask_img/000000000595.png,training,e,e,338.3321945
1,28,Female,Right,8,Training,2.019168000000036,0.025,true,firehydrant,firehydrant,occlusion,low,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_low_firehydrant90.png,mask_img/000000003225.png,training,i,i,341.49540149999996
1,28,Female,Right,9,Training,3.6973756000001003,0.1,true,building,building,occlusion,control,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_control_building24.png,mask_img/000000004739.png,training,o,o,346.4801433
1,28,Female,Right,10,Training,3.7814005999999836,0.025,false,tree,firehydrant,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_tree9.png,mask_img/000000006263.png,training,i,p,351.43933849999996
