Version,pt_num,Age,Gender,Handedness,trial_nbr,block_number,rt,soa,acc,category,choiced_category,manipulation,difficulty,mask,type_occl,size_occl,filename,mask_filename,task,pressed_key,correct_key,Experiment Duration
V3,19,21,Male,Right,1,Training,3.378570300003048,0.1,false,cat,tree,occlusion,low,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_low_cat432.png,mask_img/000000003084.png,training,u,w,100.39868109999225
V3,19,21,Male,Right,2,Training,4.75854260000051,0.1,false,firehydrant,person,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_firehydrant90.png,mask_img/000000006146.png,training,o,e,106.34975170000689
V3,19,21,Male,Right,3,Training,2.5926986999984365,0.05,false,cat,firehydrant,occlusion,low,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_low_cat432.png,mask_img/000000003084.png,training,e,w,110.1622107999865
V3,19,21,Male,Right,4,Training,1.4577627000107896,0.025,true,building,building,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_building24.png,mask_img/000000000312.png,training,q,q,113.11524699997972
V3,19,21,Male,Right,5,Training,2.6166342000069562,0.05,true,banana,banana,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_banana454.png,mask_img/000000000042.png,training,i,i,117.02158969998709
V3,19,21,Male,Right,6,Training,1.7957636999781244,0.025,true,firehydrant,firehydrant,occlusion,low,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_low_firehydrant90.png,mask_img/000000003225.png,training,e,e,120.05271970000467
V3,19,21,Male,Right,7,Training,1.3650270999933127,0.05,true,banana,banana,occlusion,high,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_high_banana454.png,mask_img/000000000690.png,training,i,i,122.81839229998877
V3,19,21,Male,Right,8,Training,1.8265763000235893,0.025,true,person,person,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_person189.png,mask_img/000000000595.png,training,o,o,125.9608370999922
V3,19,21,Male,Right,9,Training,2.5296641999739222,0.025,false,tree,banana,occlusion,high,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_high_tree9.png,mask_img/000000002197.png,training,i,u,129.90508269998827
V3,19,21,Male,Right,10,Training,3.461930699995719,0.025,true,firehydrant,firehydrant,occlusion,control,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_control_firehydrant90.png,mask_img/000000005131.png,training,e,e,134.90503729999182
V3,19,21,Male,Right,11,Training,3.176796200015815,0.05,false,tree,banana,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_tree9.png,mask_img/000000007325.png,training,i,u,139.29563989999588
V3,19,21,Male,Right,12,Training,1.9033849999832455,0.025,false,tree,person,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_tree9.png,mask_img/000000006263.png,training,o,u,142.34250569998403
V3,19,21,Male,Right,13,Training,1.6561999999976251,0.1,true,bus,bus,occlusion,low,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_low_bus180.png,mask_img/000000002892.png,training,p,p,145.1236435000028
V3,19,21,Male,Right,14,Training,1.7515419000119437,0.025,false,person,banana,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_person189.png,mask_img/000000007179.png,training,i,o,148.29569050000282
V3,19,21,Male,Right,15,Training,1.1869421000010334,0.05,true,bus,bus,occlusion,high,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_high_bus180.png,mask_img/000000001053.png,training,p,p,150.8596155999985
V3,19,21,Male,Right,16,Training,2.197824300004868,0.025,false,bird,banana,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_bird4.png,mask_img/000000006481.png,training,i,r,154.5158808999986
V3,19,21,Male,Right,17,Training,1.2644212000013795,0.025,true,bus,bus,occlusion,low,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_low_bus180.png,mask_img/000000002892.png,training,p,p,157.18779789999826
V3,19,21,Male,Right,18,Training,3.802319800015539,0.025,false,cat,firehydrant,occlusion,low,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_low_cat432.png,mask_img/000000003084.png,training,e,w,162.18830529999104
V3,19,21,Male,Right,19,Training,2.3795287999964785,0.025,true,cat,cat,occlusion,control,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_control_cat432.png,mask_img/000000005105.png,training,w,w,165.78204629998072
V3,19,21,Male,Right,20,Training,1.8294332000077702,0.1,false,banana,person,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_banana454.png,mask_img/000000005359.png,training,o,i,168.89141379998182
V3,19,21,Male,Right,21,Training,1.3608838000218384,0.1,false,tree,banana,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_tree9.png,mask_img/000000007325.png,training,i,u,171.42405070000677
V3,19,21,Male,Right,22,Training,2.0351221000018995,0.05,false,tree,banana,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_tree9.png,mask_img/000000006263.png,training,i,u,174.533292099979
V3,19,21,Male,Right,23,Training,1.3261753999977373,0.05,true,cat,cat,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_cat432.png,mask_img/000000006842.png,training,w,w,177.39274349997868
V3,19,21,Male,Right,24,Training,1.4413112000038382,0.05,false,banana,person,occlusion,low,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_low_banana454.png,mask_img/000000002337.png,training,o,i,180.29919719998725
V3,19,21,Male,Right,25,Training,1.9061765000224113,0.05,false,tree,cat,occlusion,low,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_low_tree9.png,mask_img/000000003694.png,training,w,u,183.70520739999483
V3,19,21,Male,Right,26,Training,1.9777401000028476,0.025,true,banana,banana,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_banana454.png,mask_img/000000006437.png,training,i,i,186.9724344999995
V3,19,21,Male,Right,27,Training,1.5430295999976806,0.025,false,bird,banana,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_bird4.png,mask_img/000000005418.png,training,i,r,189.95681040000636
V3,19,21,Male,Right,28,Training,3.6718706999963615,0.1,true,tree,tree,occlusion,high,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_high_tree9.png,mask_img/000000006263.png,training,u,u,194.76243449997855
V3,19,21,Male,Right,29,Training,1.556229500012705,0.05,true,firehydrant,firehydrant,occlusion,high,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_high_firehydrant90.png,mask_img/000000001810.png,training,e,e,197.6842304999882
V3,19,21,Male,Right,30,Training,1.5920459999761079,0.1,true,cat,cat,occlusion,control,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_control_cat432.png,mask_img/000000000438.png,training,w,w,200.85918289999245
V3,19,21,Male,Right,31,Training,1.2551200999878347,0.05,true,building,building,occlusion,high,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_high_building24.png,mask_img/000000000873.png,training,q,q,203.68429969999124
V3,19,21,Male,Right,32,Training,1.4801601000071969,0.05,true,firehydrant,firehydrant,occlusion,low,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_low_firehydrant90.png,mask_img/000000003225.png,training,e,e,206.37319879999268
V3,19,21,Male,Right,33,Training,1.1458456999971531,0.025,true,building,building,occlusion,control,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_control_building24.png,mask_img/000000004739.png,training,q,q,209.1231004000001
V3,19,21,Male,Right,34,Training,1.0680520000169054,0.05,true,bus,bus,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_bus180.png,mask_img/000000006709.png,training,p,p,211.57629510000697
V3,19,21,Male,Right,35,Training,2.2685937999922317,0.1,false,tree,cat,occlusion,low,mask,partial viewing,few large,Training_Stimulus\fewlarge_partialViewing_low_tree9.png,mask_img/000000003694.png,training,w,u,215.24836919998052
V3,19,21,Male,Right,36,Training,2.025897999992594,0.1,false,bird,tree,occlusion,low,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_low_bird4.png,mask_img/000000006481.png,training,u,r,218.35779409998213
V3,19,21,Male,Right,37,Training,2.7964397000032477,0.1,true,firehydrant,firehydrant,occlusion,control,mask,partial viewing,many small,Training_Stimulus\manysmall_partialViewing_control_firehydrant90.png,mask_img/000000005131.png,training,e,e,222.3928401999874
