,filename,mask_filename,category,manipulation,difficulty,mask,type_occl,size_occl,soa
0,Training_Stimulus\fewlarge_partialViewing_control_banana454.png,mask_img/000000000042.png,banana,occlusion,control,mask,partial viewing,few large,0.025
1,Training_Stimulus\fewlarge_partialViewing_control_bird4.png,mask_img/000000000109.png,bird,occlusion,control,mask,partial viewing,few large,0.025
2,Training_Stimulus\fewlarge_partialViewing_control_building24.png,mask_img/000000000312.png,building,occlusion,control,mask,partial viewing,few large,0.025
3,Training_Stimulus\fewlarge_partialViewing_control_bus180.png,mask_img/000000000394.png,bus,occlusion,control,mask,partial viewing,few large,0.025
4,Training_Stimulus\fewlarge_partialViewing_control_cat432.png,mask_img/000000000438.png,cat,occlusion,control,mask,partial viewing,few large,0.025
5,Training_Stimulus\fewlarge_partialViewing_control_firehydrant90.png,mask_img/000000000459.png,firehydrant,occlusion,control,mask,partial viewing,few large,0.025
6,Training_Stimulus\fewlarge_partialViewing_control_person189.png,mask_img/000000000595.png,person,occlusion,control,mask,partial viewing,few large,0.025
7,Training_Stimulus\fewlarge_partialViewing_control_tree9.png,mask_img/000000000626.png,tree,occlusion,control,mask,partial viewing,few large,0.025
8,Training_Stimulus\fewlarge_partialViewing_high_banana454.png,mask_img/000000000690.png,banana,occlusion,high,mask,partial viewing,few large,0.025
9,Training_Stimulus\fewlarge_partialViewing_high_bird4.png,mask_img/000000000731.png,bird,occlusion,high,mask,partial viewing,few large,0.025
10,Training_Stimulus\fewlarge_partialViewing_high_building24.png,mask_img/000000000873.png,building,occlusion,high,mask,partial viewing,few large,0.025
11,Training_Stimulus\fewlarge_partialViewing_high_bus180.png,mask_img/000000001053.png,bus,occlusion,high,mask,partial viewing,few large,0.025
12,Training_Stimulus\fewlarge_partialViewing_high_cat432.png,mask_img/000000001647.png,cat,occlusion,high,mask,partial viewing,few large,0.025
13,Training_Stimulus\fewlarge_partialViewing_high_firehydrant90.png,mask_img/000000001810.png,firehydrant,occlusion,high,mask,partial viewing,few large,0.025
14,Training_Stimulus\fewlarge_partialViewing_high_person189.png,mask_img/000000001997.png,person,occlusion,high,mask,partial viewing,few large,0.025
15,Training_Stimulus\fewlarge_partialViewing_high_tree9.png,mask_img/000000002197.png,tree,occlusion,high,mask,partial viewing,few large,0.025
16,Training_Stimulus\fewlarge_partialViewing_low_banana454.png,mask_img/000000002337.png,banana,occlusion,low,mask,partial viewing,few large,0.025
17,Training_Stimulus\fewlarge_partialViewing_low_bird4.png,mask_img/000000002774.png,bird,occlusion,low,mask,partial viewing,few large,0.025
18,Training_Stimulus\fewlarge_partialViewing_low_building24.png,mask_img/000000002822.png,building,occlusion,low,mask,partial viewing,few large,0.025
19,Training_Stimulus\fewlarge_partialViewing_low_bus180.png,mask_img/000000002892.png,bus,occlusion,low,mask,partial viewing,few large,0.025
20,Training_Stimulus\fewlarge_partialViewing_low_cat432.png,mask_img/000000003084.png,cat,occlusion,low,mask,partial viewing,few large,0.025
21,Training_Stimulus\fewlarge_partialViewing_low_firehydrant90.png,mask_img/000000003225.png,firehydrant,occlusion,low,mask,partial viewing,few large,0.025
22,Training_Stimulus\fewlarge_partialViewing_low_person189.png,mask_img/000000003483.png,person,occlusion,low,mask,partial viewing,few large,0.025
23,Training_Stimulus\fewlarge_partialViewing_low_tree9.png,mask_img/000000003694.png,tree,occlusion,low,mask,partial viewing,few large,0.025
24,Training_Stimulus\manysmall_partialViewing_control_banana454.png,mask_img/000000004239.png,banana,occlusion,control,mask,partial viewing,many small,0.025
25,Training_Stimulus\manysmall_partialViewing_control_bird4.png,mask_img/000000004642.png,bird,occlusion,control,mask,partial viewing,many small,0.025
26,Training_Stimulus\manysmall_partialViewing_control_building24.png,mask_img/000000004739.png,building,occlusion,control,mask,partial viewing,many small,0.025
27,Training_Stimulus\manysmall_partialViewing_control_bus180.png,mask_img/000000004936.png,bus,occlusion,control,mask,partial viewing,many small,0.025
28,Training_Stimulus\manysmall_partialViewing_control_cat432.png,mask_img/000000005105.png,cat,occlusion,control,mask,partial viewing,many small,0.025
29,Training_Stimulus\manysmall_partialViewing_control_firehydrant90.png,mask_img/000000005131.png,firehydrant,occlusion,control,mask,partial viewing,many small,0.025
30,Training_Stimulus\manysmall_partialViewing_control_person189.png,mask_img/000000005142.png,person,occlusion,control,mask,partial viewing,many small,0.025
31,Training_Stimulus\manysmall_partialViewing_control_tree9.png,mask_img/000000005282.png,tree,occlusion,control,mask,partial viewing,many small,0.025
32,Training_Stimulus\manysmall_partialViewing_high_banana454.png,mask_img/000000005359.png,banana,occlusion,high,mask,partial viewing,many small,0.025
33,Training_Stimulus\manysmall_partialViewing_high_bird4.png,mask_img/000000005418.png,bird,occlusion,high,mask,partial viewing,many small,0.025
34,Training_Stimulus\manysmall_partialViewing_high_building24.png,mask_img/000000005574.png,building,occlusion,high,mask,partial viewing,many small,0.025
35,Training_Stimulus\manysmall_partialViewing_high_bus180.png,mask_img/000000005615.png,bus,occlusion,high,mask,partial viewing,many small,0.025
